RSN name,first layer£¨mm£©,second layer£¨mm£©,third layer(mm)
RSN0001,24.93646,27.915377,25.179816
RSN0002,1.894981,2.35227,1.866291
RSN0003,29.497519,33.556737,34.708366
RSN0004,4.586467,5.124048,4.512778
RSN0005,20.683046,22.846171,20.74741
RSN0006,38.075835,40.85286,38.399613
RSN0007,50.467744,57.572797,60.138717
RSN0008,1.247777,1.256234,1.338219
RSN0009,4.785955,5.428094,4.701817
RSN0010,43.148104,47.242946,44.453117
RSN0011,1.003308,1.123666,1.322949
RSN0012,864.164352,977.504492,883.432776
RSN0013,317.516863,344.688386,261.039667
RSN0014,209.428048,235.978911,208.30746
RSN0015,54.280116,60.402215,61.338291
RSN0016,48.108682,53.059168,51.721708
RSN0017,24.211675,27.441099,27.265936
RSN0018,23.199568,25.810864,23.749629
RSN0019,0.771908,0.463458,0.603412
RSN0020,509.422332,563.467681,482.774969
RSN0021,2.373738,2.86639,3.015774
RSN0022,12.612196,14.401853,15.07315
RSN0023,4.128067,4.583526,5.147991
RSN0024,37.297992,40.554516,39.415291
RSN0025,27.001023,30.428141,27.939934
RSN0026,138.765365,156.642586,139.528239
RSN0027,22.572165,24.19072,20.27432
RSN0028,200.970974,231.741145,192.635864
RSN0030,32.423377,36.975265,37.29029
RSN0031,27.527765,30.7159,31.175463
RSN0032,15.148095,17.154955,17.750822
RSN0033,3.311767,3.254915,3.615974
RSN0034,1.973884,1.692598,1.945086
RSN0035,62.005449,65.851105,52.328369
RSN0036,211.459935,247.720391,214.156315
RSN0037,7.498659,8.64137,8.119015
RSN0038,803.684592,852.710009,831.413195
RSN0039,237.672199,269.675966,251.293078
RSN0040,9.000838,10.515794,10.133853
RSN0041,7.637283,8.1305,8.499549
RSN0042,19.370878,20.837204,20.469232
RSN0044,6.024353,6.79789,7.422847
RSN0045,12.361877,13.537565,14.253175
RSN0046,7.753509,8.582461,8.511588
RSN0047,26.106935,28.691642,28.596144
RSN0048,76.89105,86.652741,73.235606
RSN0049,1.480269,1.136683,1.422885
RSN0050,1.773803,2.206248,1.669583
RSN0051,474.673867,551.024199,502.970807
RSN0052,10.763924,11.70581,12.116584
RSN0053,315.463245,351.10268,349.727012
RSN0054,164.586484,192.772284,158.779157
RSN0055,227.210224,262.354955,222.132102
RSN0056,30.097276,33.478737,30.973971
RSN0057,28.476074,31.290081,28.332581
RSN0058,18.219253,19.999305,20.641608
RSN0059,11.392544,12.156116,12.982391
RSN0060,422.028095,475.496218,405.528344
RSN0062,14.912214,16.626749,17.218072
RSN0063,37.460046,41.834176,45.231663
RSN0064,27.809307,30.950498,29.239259
RSN0065,99.77214,115.28736,106.632281
