RSN name,First layer£¨mm£©,Second layer£¨mm£©
RSN0001,16.891249,25.596723
RSN0002,1.1693,1.641127
RSN0003,19.683504,28.319634
RSN0004,3.881073,5.644803
RSN0005,16.841151,24.473995
RSN0006,23.466751,35.26099
RSN0007,31.287476,44.336516
RSN0008,0.600557,0.959159
RSN0009,3.141236,4.471082
RSN0010,27.818608,40.034011
RSN0011,0.759149,0.943581
RSN0012,596.395969,2945.884943
RSN0013,132.679254,183.391467
RSN0014,137.750746,187.253701
RSN0015,39.931357,57.420373
RSN0016,31.168878,44.656202
RSN0017,12.938369,19.245651
RSN0018,12.379317,18.27052
RSN0019,0.37227,0.468056
RSN0020,347.875297,459.125042
RSN0021,1.682787,2.446909
RSN0022,8.471493,12.529792
RSN0023,2.63977,3.819918
RSN0024,36.874004,52.131772
RSN0025,18.541068,28.172478
RSN0026,80.393583,114.043698
RSN0027,21.888502,31.982999
RSN0028,125.096083,172.994673
RSN0030,25.289476,38.027048
RSN0031,14.755987,22.445582
RSN0032,9.461205,13.982249
RSN0033,1.817971,2.739253
RSN0034,1.092305,1.648956
RSN0035,49.228795,71.361408
RSN0036,94.163299,132.332027
RSN0037,2.923563,4.304361
RSN0038,309.547186,386.318445
RSN0039,86.082816,119.192004
RSN0040,5.640954,8.238394
RSN0041,6.349463,9.194106
RSN0042,13.684273,20.243984
RSN0044,4.557788,6.639054
RSN0045,7.359829,10.935586
RSN0046,5.240932,7.659512
RSN0047,25.051374,37.360735
RSN0048,48.753276,71.66867
RSN0049,0.755711,1.148224
RSN0050,1.198241,1.690538
RSN0051,100.332022,131.302834
RSN0052,6.240446,9.121943
RSN0053,71.323335,101.879954
RSN0054,83.642274,117.208779
RSN0055,128.2143,173.76864
RSN0056,16.11577,24.319023
RSN0057,19.363437,29.226184
RSN0058,11.413857,16.870194
RSN0059,6.410785,9.452496
RSN0060,144.593716,196.507156
RSN0062,9.201497,13.700135
RSN0063,22.233929,33.767018
RSN0064,13.205484,19.74611
RSN0065,52.556798,1697.875977
RSN0066,9.031297,13.336375
RSN0067,37.118554,54.392099
RSN0068,68.683028,98.651707
RSN0069,1001.470327,3508.092284
RSN0070,103.385866,144.150443
RSN0071,3.501974,5.173195
RSN0072,25.712639,38.534991
RSN0073,0.690182,1.147311
RSN0074,118.895054,161.912441
RSN0075,13.335943,20.269096
RSN0076,32.073975,48.400879
RSN0077,27.390152,39.707469
RSN0079,11.85732,17.654553
RSN0080,12.632541,18.880072
RSN0081,1.171482,1.666306
RSN0082,28.952122,43.814421
RSN0083,2.990998,4.431157
RSN0084,159.407139,166.094542
RSN0085,23.038901,34.50473
RSN0086,40.289402,57.725906
RSN0087,0.837825,1.23067
RSN0088,11.599481,17.421246
RSN0089,0.313391,0.457361
RSN0090,114.022568,155.054305
RSN0091,12.689449,18.75074
RSN0092,38.356185,55.810332
RSN0093,47.677517,70.515275
RSN0094,10.59857,16.031325
RSN0095,10.949492,16.251326
RSN0096,26.336282,39.415374
RSN0097,1.301605,2.042248
RSN0099,4.283115,6.236172
RSN0100,12.802333,19.153541
